edist	mapq	min_size	count
100	0	0	158359
10	0	0	150590
5	0	0	137331
3	0	0	124275
1	0	0	92946
0	0	0	56426
100	1	0	143721
10	1	0	137076
5	1	0	125332
3	1	0	113676
1	1	0	85185
0	1	0	51590
100	10	0	138258
10	10	0	132237
5	10	0	121361
3	10	0	110376
1	10	0	83072
0	10	0	50426
100	20	0	135131
10	20	0	129583
5	20	0	119206
3	20	0	108545
1	20	0	81812
0	20	0	49702
100	30	0	131086
10	30	0	126103
5	30	0	116305
3	30	0	106093
1	30	0	80158
0	30	0	48777
100	40	0	127769
10	40	0	123291
5	40	0	114027
3	40	0	104233
1	40	0	78938
0	40	0	48066
100	0	1000	3361
10	0	1000	3218
5	0	1000	2946
3	0	1000	2689
1	0	1000	2014
0	0	1000	1085
100	1	1000	2866
10	1	1000	2756
5	1	1000	2535
3	1	1000	2330
1	1	1000	1763
0	1	1000	951
100	10	1000	2762
10	10	1000	2667
5	10	1000	2460
3	10	1000	2268
1	10	1000	1724
0	10	1000	931
100	20	1000	2697
10	20	1000	2610
5	20	1000	2413
3	20	1000	2225
1	20	1000	1700
0	20	1000	917
100	30	1000	2624
10	30	1000	2546
5	30	1000	2354
3	30	1000	2173
1	30	1000	1667
0	30	1000	906
100	40	1000	2575
10	40	1000	2502
5	40	1000	2315
3	40	1000	2141
1	40	1000	1643
0	40	1000	898
100	0	2000	2111
10	0	2000	2017
5	0	2000	1857
3	0	2000	1694
1	0	2000	1273
0	0	2000	691
100	1	2000	1781
10	1	2000	1709
5	1	2000	1576
3	1	2000	1444
1	1	2000	1093
0	1	2000	598
100	10	2000	1721
10	10	2000	1657
5	10	2000	1531
3	10	2000	1408
1	10	2000	1067
0	10	2000	583
100	20	2000	1685
10	20	2000	1624
5	20	2000	1503
3	20	2000	1383
1	20	2000	1052
0	20	2000	576
100	30	2000	1640
10	30	2000	1586
5	30	2000	1468
3	30	2000	1352
1	30	2000	1033
0	30	2000	571
100	40	2000	1609
10	40	2000	1560
5	40	2000	1446
3	40	2000	1334
1	40	2000	1020
0	40	2000	566
100	0	5000	1126
10	0	5000	1073
5	0	5000	991
3	0	5000	903
1	0	5000	679
0	0	5000	373
100	1	5000	905
10	1	5000	866
5	1	5000	802
3	1	5000	736
1	1	5000	558
0	1	5000	313
100	10	5000	860
10	10	5000	828
5	10	5000	771
3	10	5000	712
1	10	5000	540
0	10	5000	300
100	20	5000	839
10	20	5000	809
5	20	5000	755
3	20	5000	698
1	20	5000	530
0	20	5000	296
100	30	5000	817
10	30	5000	790
5	30	5000	738
3	30	5000	681
1	30	5000	519
0	30	5000	293
100	40	5000	800
10	40	5000	775
5	40	5000	725
3	40	5000	671
1	40	5000	513
0	40	5000	290
100	0	10000	830
10	0	10000	791
5	0	10000	727
3	0	10000	661
1	0	10000	503
0	0	10000	268
100	1	10000	658
10	1	10000	631
5	1	10000	581
3	1	10000	529
1	1	10000	407
0	1	10000	219
100	10	10000	620
10	10	10000	599
5	10	10000	556
3	10	10000	510
1	10	10000	393
0	10	10000	210
100	20	10000	601
10	20	10000	582
5	20	10000	541
3	20	10000	497
1	20	10000	384
0	20	10000	206
100	30	10000	589
10	30	10000	572
5	30	10000	533
3	30	10000	489
1	30	10000	379
0	30	10000	204
100	40	10000	577
10	40	10000	560
5	40	10000	523
3	40	10000	481
1	40	10000	374
0	40	10000	202
100	0	20000	718
10	0	20000	684
5	0	20000	625
3	0	20000	575
1	0	20000	439
0	0	20000	238
100	1	20000	561
10	1	20000	539
5	1	20000	493
3	1	20000	455
1	1	20000	348
0	1	20000	192
100	10	20000	532
10	10	20000	515
5	10	20000	473
3	10	20000	440
1	10	20000	337
0	10	20000	185
100	20	20000	516
10	20	20000	501
5	20	20000	461
3	20	20000	429
1	20	20000	330
0	20	20000	181
100	30	20000	506
10	30	20000	493
5	30	20000	455
3	30	20000	423
1	30	20000	327
0	30	20000	180
100	40	20000	495
10	40	20000	482
5	40	20000	446
3	40	20000	415
1	40	20000	322
0	40	20000	178
100	0	50000	593
10	0	50000	564
5	0	50000	522
3	0	50000	483
1	0	50000	370
0	0	50000	204
100	1	50000	464
10	1	50000	444
5	1	50000	412
3	1	50000	383
1	1	50000	297
0	1	50000	167
100	10	50000	439
10	10	50000	424
5	10	50000	395
3	10	50000	370
1	10	50000	287
0	10	50000	161
100	20	50000	428
10	20	50000	415
5	20	50000	387
3	20	50000	363
1	20	50000	282
0	20	50000	157
100	30	50000	419
10	30	50000	408
5	30	50000	382
3	30	50000	358
1	30	50000	279
0	30	50000	156
100	40	50000	411
10	40	50000	400
5	40	50000	375
3	40	50000	351
1	40	50000	274
0	40	50000	154
